duration,protocol_type,src_bytes,dst_bytes,count,label
25950,0,1,0,2,1
0,0,0,0,110,1
0,1,105,145,4,0
0,0,218,974,6,0
0,0,325,2649,7,0
0,0,0,0,246,1
0,0,0,0,272,1
0,0,0,0,259,1
240,0,328,275,9,0
0,0,0,0,294,1
0,0,9,138,1,0
0,1,46,46,96,0
1,0,1079,334,1,0
0,1,45,139,79,0
26,0,273,903,1,0
0,0,0,0,190,1
0,0,0,0,135,1
0,0,237,138,2,0
0,0,225,1357,1,0
0,0,0,0,123,1
0,0,0,0,245,1
0,1,147,0,3,0
0,0,262,1011,3,0
0,2,1032,0,263,1
0,0,0,0,109,1
0,0,261,8412,9,0
0,0,0,0,145,1
0,0,0,0,250,1
0,0,294,1719,8,0
0,0,221,981,2,0
0,0,284,10352,2,0
0,0,0,0,1,1
0,0,309,16096,3,0
0,0,334,0,2,1
0,0,0,0,13,1
0,0,0,0,87,1
0,0,214,283,2,0
0,0,0,0,292,1
0,0,0,0,295,1
0,0,0,0,143,1
0,1,46,78,278,0
0,0,748,0,1,0
0,0,0,0,102,1
0,2,8,0,1,1
0,0,0,0,251,1
0,0,329,8437,4,0
0,0,9,0,2,0
0,1,46,128,222,0
0,0,1766,0,2,0
0,0,0,0,260,1
9015,0,1,0,2,1
7,0,8,135,1,0
0,0,266,529,1,0
0,0,245,0,3,0
0,0,295,465,11,0
0,0,0,0,44,1
0,0,228,6834,2,0
0,2,1032,0,511,1
0,0,0,0,272,1
0,0,0,0,122,1
0,0,0,0,287,1
0,0,0,0,1,0
0,0,0,0,486,1
0,1,1,0,22,1
0,0,0,0,286,1
0,2,30,0,1,0
1,0,2078,333,1,0
0,0,19,0,1,0
0,0,661,329,1,0
0,1,28,0,35,1
0,0,0,0,28,1
0,0,0,0,108,1
0,0,0,0,101,1
0,0,1075,364,1,0
0,0,223,656,12,0
15159,0,350,1185,1,1
0,0,233,2470,10,0
0,0,0,0,223,1
0,0,0,0,223,1
0,0,201,1938,19,0
0,0,271,4781,4,0
0,0,14416,0,1,0
0,0,227,11564,5,0
0,0,0,0,406,1
0,0,225,2445,4,0
0,0,176,426,6,0
0,0,0,0,143,1
0,0,227,762,17,0
0,0,855,575,1,0
0,0,944,330,1,0
0,0,954,326,2,0
0,0,0,0,201,1
0,0,166,34660,1,0
0,0,306,2698,4,0
0,0,0,0,124,1
0,0,0,0,162,1
0,2,1480,0,2,1
0,0,0,0,277,1
0,0,313,8549,4,0
0,0,0,0,274,1
0,0,0,0,141,1
0,0,285,6008,3,0
0,0,226,1411,8,0
0,0,256,12984,1,0
1,0,3740,449,1,0
0,0,224,449,10,0
0,0,0,0,103,1
4,0,832,0,1,1
0,0,0,0,246,1
0,2,8,0,1,1
0,0,201,169,7,0
0,0,285,304,32,0
0,0,0,0,125,1
0,0,7422,0,8,0
0,0,198,12884,2,0
20,0,2310,328,1,0
0,0,331,955,6,0
0,2,65,0,9,0
0,1,28,0,4,1
0,1,45,77,171,0
0,0,0,0,250,1
0,0,0,0,238,1
0,0,0,0,102,1
0,0,9,142,1,0
0,0,283,912,2,0
0,0,221,1789,2,0
0,2,18,0,1,1
0,0,0,0,281,1
0,0,0,0,30,1
0,0,0,0,276,1
0,0,302,1380,5,0
0,0,0,0,163,1
0,2,8,0,1,1
0,0,0,0,301,1
0,0,355,870,28,0
0,2,8,0,1,1
18,0,106,1468,1,0
0,0,286,1423,16,0
9235,0,1,0,2,1
0,0,0,0,1,1
0,2,1032,0,46,1
0,0,168,9551,1,0
0,0,238,864,39,0
0,0,0,0,1,1
0,0,291,10369,6,0
0,0,0,0,211,1
0,0,749,330,1,0
0,0,198,6924,12,0
0,0,0,0,280,1
0,0,167,709,1,0
0,0,241,851,17,0
0,0,337,3360,6,0
0,0,729,328,1,0
0,2,8,0,1,1
0,0,0,0,201,1
0,0,222,1483,3,0
0,0,0,0,276,1
0,0,0,0,1,0
0,1,46,134,145,0
0,0,246,2719,1,0
0,0,222,771,8,0
0,0,0,0,258,1
0,0,0,0,256,1
409,0,279,9598,1,0
0,0,226,651,12,0
0,0,299,447,26,0
0,0,0,0,14,1
0,0,12,0,2,0
0,0,281,1951,30,0
0,0,0,0,138,1
0,1,42,42,4,0
0,0,0,0,300,1
0,0,0,0,199,1
0,0,263,453,15,0
36613,0,1,0,2,1
0,0,0,0,1,0
0,0,0,0,144,1
0,0,0,0,104,1
0,0,283,1980,18,0
0,0,161,5530,2,0
0,0,211,321,7,0
0,0,201,1701,7,0
0,2,8,0,1,1
0,1,147,0,3,0
0,0,0,0,74,1
0,0,567,0,1,0
0,0,0,0,225,1
0,0,0,0,66,1
5043,0,5131424,0,1,1
0,0,320,420,7,0
0,2,8,0,1,1
0,0,0,0,2,0
0,0,204,1229,4,0
0,0,0,0,1,1
0,0,10389,0,1,0
0,0,0,0,139,1
0,0,344,573,28,0
0,0,0,0,144,1
0,0,0,0,241,1
0,0,243,821,15,0
0,2,1032,0,213,1
0,2,8,0,1,1
0,0,0,0,36,1
0,1,105,146,3,0
0,0,0,0,254,1
1,0,1080,327,1,0
0,0,0,0,295,1
0,0,0,0,171,1
0,0,0,0,179,1
0,0,657,326,2,0
0,0,0,0,101,1
0,0,284,765,9,0
0,0,261,15455,22,0
0,0,317,315,1,0
0,1,33,0,8,0
0,0,0,0,2,1
0,0,0,0,1,1
0,1,44,70,195,0
0,0,215,584,4,0
0,0,0,0,260,1
0,0,332,2844,14,0
1,0,978,334,1,0
0,0,296,5670,10,0
0,0,0,0,125,1
0,0,0,0,139,1
0,0,214,9986,10,0
0,0,0,0,251,1
0,1,48,48,1,0
0,0,226,1301,5,0
0,0,0,0,211,1
0,2,78,0,20,0
0,0,0,0,208,1
0,0,0,0,1,0
0,0,0,0,268,1
0,0,0,0,1,1
0,0,0,0,2,1
0,0,294,3327,1,0
0,0,0,0,286,1
0,0,220,1249,7,0
0,0,0,0,425,1
0,0,196,3282,8,0
0,0,0,0,272,1
0,0,327,4482,4,0
0,0,0,0,241,1
0,0,319,0,2,0
0,0,1087,302,1,0
0,0,210,3754,18,0
0,0,0,0,125,1
0,0,0,0,1,0
0,0,234,6282,6,0
0,2,8,0,1,1
0,0,54540,8314,1,1
0,0,237,1461,3,0
0,0,0,0,42,1
0,0,0,0,274,1
0,0,200,955,3,0
0,0,219,657,7,0
0,0,284,5921,1,0
0,0,0,0,196,1
0,0,325,426,5,0
0,0,0,0,111,1
0,2,30,0,1,0
0,0,335,7902,1,0
0,1,36,0,2,0
0,0,0,0,168,1
0,1,43,43,122,0
0,0,0,0,108,1
0,0,0,0,1,0
0,0,0,0,36,1
0,0,0,0,143,1
0,0,216,1956,1,0
0,0,0,0,132,1
0,1,44,78,139,0
0,0,347,8113,7,0
1,0,570,280,1,0
0,0,219,17540,8,0
0,1,146,0,3,0
0,0,0,0,222,1
0,0,0,0,260,1
0,0,0,0,237,1
0,0,0,0,132,1
31401,0,1,0,2,1
0,0,0,0,57,1
0,2,18,0,1,1
0,0,0,4,1,0
0,0,233,581,13,0
0,0,0,0,257,1
0,0,276,0,1,0
0,1,44,139,77,0
0,2,8,0,1,1
7805,0,1828,148722,1,0
0,0,200,764,2,0
0,1,46,46,11,0
0,0,0,0,257,1
0,0,0,0,13,1
0,0,216,5284,9,0
0,0,0,0,137,1
0,0,234,997,28,0
0,0,220,1643,12,0
0,0,0,0,132,1
0,1,105,146,7,0
0,0,0,0,1,0
0,0,0,0,290,1
0,0,0,0,203,1
0,0,0,0,290,1
0,0,288,2881,14,0
0,0,0,0,116,1
0,0,0,0,260,1
0,1,1,0,12,1
0,1,28,0,21,1
0,0,279,494,2,0
0,2,1032,0,486,1
0,0,192,0,2,0
7,0,105,1401,1,0
0,0,0,0,1,1
10,0,1330,282,1,0
0,2,520,0,457,1
0,0,0,0,47,1
0,0,230,362,10,0
0,1,44,110,71,0
0,0,271,3582,12,0
0,0,179,1668,6,0
0,0,852,0,6,0
0,0,222,310,5,0
0,0,314,4137,7,0
0,0,0,0,139,1
0,0,230,6880,1,0
0,0,0,0,200,1
0,0,0,0,140,1
0,0,857,327,1,0
0,0,234,1707,9,0
0,2,1032,0,511,1
0,1,28,0,68,1
0,0,0,0,132,1
0,0,215,6367,9,0
0,1,46,46,215,0
0,1,105,146,1,0
0,0,0,0,115,1
0,0,0,0,35,1
0,0,0,0,275,1
0,0,305,2507,4,0
0,0,0,0,76,1
0,0,336,15767,12,0
0,0,0,0,202,1
0,0,0,0,252,1
5784,1,147,105,1,0
0,0,335,1212,3,0
0,0,0,0,74,1
0,0,339,241,1,0
0,0,317,3245,4,0
0,0,0,0,116,1
0,0,54540,8314,2,1
0,0,0,0,197,1
0,1,42,131,80,0
0,0,986,368,1,0
0,0,0,0,198,1
0,2,183,0,4,0
0,0,0,0,102,1
0,0,405,23786,1,0
0,0,0,0,223,1
0,0,785,327,1,0
0,0,258,4302,1,0
0,0,0,0,138,1
0,2,8,0,1,1
0,0,318,2649,5,0
0,0,0,0,154,1
0,0,0,0,204,1
0,0,0,0,262,1
0,0,216,1240,8,0
1,0,0,0,25,1
0,0,291,320,3,0
0,0,224,546,21,0
0,0,0,0,459,1
0,0,0,0,253,1
542,1,17,42,1,0
0,0,0,0,142,1
0,1,29,29,1,0
0,1,105,147,1,0
0,2,30,0,12,0
0,0,325,12884,5,0
0,0,0,0,139,1
0,0,0,0,1,0
0,0,12,0,1,0
0,0,212,828,9,0
0,0,240,1475,12,0
0,0,292,13206,5,0
0,0,172,12793,1,0
0,0,0,0,196,1
0,0,310,788,3,0
0,1,44,128,4,0
0,1,145,0,3,0
1,0,1238,2451,1,1
0,2,8,0,1,1
0,1,45,45,167,0
0,0,0,0,2,1
2,0,1551,362,1,0
4,0,1308,328,1,0
0,0,356,1125,3,0
0,0,364,6914,13,0
0,0,331,776,10,0
0,2,30,0,2,0
0,0,0,0,262,1
0,0,0,0,103,1
0,0,247,7546,14,0
0,0,300,1841,43,0
0,0,0,0,221,1
0,0,355,2109,5,0
0,0,0,0,33,1
0,0,316,1260,3,0
0,1,44,136,224,0
30,0,1458,4152,1,0
0,0,0,0,221,1
10455,1,146,105,4,0
0,0,0,0,1,1
0,0,0,0,284,1
0,1,1,0,2,1
0,0,0,0,150,1
0,0,0,0,255,1
10326,1,146,105,5,0
0,0,0,0,26,1
0,0,13794,2966,2,0
0,0,0,0,74,1
0,0,911,325,2,0
0,0,0,0,7,1
0,0,280,3332,2,0
0,0,0,0,235,1
0,0,0,0,131,1
0,1,41,41,100,0
0,0,10,139,1,0
0,0,311,488,11,0
0,0,281,1745,2,0
0,0,297,1285,8,0
0,0,0,0,124,1
0,1,43,72,263,0
0,0,0,0,34,1
0,0,334,0,1,1
0,2,8,0,1,1
0,0,215,9399,16,0
0,0,0,0,16,1
0,0,0,0,1,0
0,1,516,4,151,0
0,0,0,0,1,1
0,0,0,0,115,1
0,0,0,0,130,1
0,0,0,0,236,1
28,1,44,44,3,0
0,0,0,0,280,1
0,0,676,328,1,0
0,0,334,455,7,0
0,0,0,0,268,1
0,0,0,0,84,1
0,0,204,1596,24,0
0,2,520,0,139,1
0,0,0,0,211,1
0,0,192,301,9,0
0,2,18,0,1,1
0,0,0,0,100,1
0,0,0,0,101,1
0,0,0,0,265,1
0,0,256,4486,1,0
0,2,64,0,1,0
0,1,46,136,210,0
0,0,0,0,54,1
0,0,220,253,16,0
0,1,41,117,43,0
0,0,248,2313,23,0
0,0,1250,2451,1,1
0,0,0,0,248,1
0,1,44,70,127,0
202,0,209,1824,1,0
0,0,5891,0,13,0
0,2,8,0,1,1
0,0,276,1767,2,0
0,0,231,2304,13,0
0,0,0,0,251,1
0,0,312,422,11,0
41285,0,1,0,2,1
0,0,0,0,222,1
0,1,29,0,2,0
0,0,13239,0,4,0
0,0,0,0,228,1
0,0,8,223,1,0
0,0,0,0,129,1
0,1,44,79,255,0
0,0,0,0,118,1
0,0,0,0,84,1
0,0,324,10647,2,0
0,0,0,0,115,1
0,2,18,0,1,1
0,0,355,657,16,0
13488,0,1,0,2,1
0,0,0,0,111,1
0,0,54540,8314,4,1
0,0,205,253,11,0
0,0,0,0,241,1
0,0,325,753,7,0
0,0,0,0,242,1
0,0,232,193,1,0
4,0,886,326,1,0
0,0,319,3432,9,0
0,0,0,0,101,1
0,0,0,0,1,1
0,0,147,12141,12,0
1,0,1451,330,1,0
0,0,54540,8314,3,1
0,0,235,1889,1,0
25,0,0,0,1,1
0,0,0,0,320,1
0,0,299,1540,17,0
0,0,0,0,114,1
0,0,0,0,136,1
0,0,0,0,272,1
0,0,0,0,209,1
0,0,237,241,66,0
0,0,0,0,110,1
3047,1,146,105,1,0
0,0,0,0,2,1
1327,1,146,105,3,0
0,0,202,1923,16,0
0,0,0,0,268,1
0,0,383,0,3,0
0,0,345,2254,4,0
0,0,278,6546,7,0
0,0,0,0,292,1
0,0,196,16143,5,0
0,0,0,0,2,1
0,0,277,2253,17,0
0,0,203,578,19,0
0,0,0,0,1,1
860,1,147,105,1,0
0,0,0,0,297,1
0,0,0,0,150,1
0,0,0,0,198,1
0,0,0,0,63,1
0,0,367,5199,4,0
0,0,0,0,199,1
0,0,257,23051,1,0
0,2,8,0,1,1
0,1,44,44,106,0
0,1,128,44,68,0
0,0,254,523,20,0
0,0,225,22996,6,0
0,0,775,331,1,0
475,0,314,266,11,0
0,0,0,0,299,1
8,0,525,335,1,0
0,0,0,0,509,1
0,1,1,0,30,1
0,0,213,37327,3,0
0,0,190,8654,4,0
0,0,0,0,234,1
0,1,28,0,88,1
0,0,0,0,244,1
27,0,1067,3081,1,0
0,1,126,44,254,0
0,0,333,2547,4,0
0,0,0,0,237,1
0,0,4491,0,1,0
0,0,0,0,287,1
0,0,54540,8314,4,1
0,0,239,255,19,0
0,0,0,0,1,0
2,0,1258,359,1,0
0,0,0,0,11,1
0,0,0,0,73,1
0,0,0,0,1,0
0,1,42,65,104,0
0,0,224,1270,6,0
0,0,231,3215,1,0
5065,1,147,105,1,0
0,1,44,72,256,0
0,2,183,0,2,0
0,0,0,0,240,1
0,0,0,0,149,1
0,0,125,179,1,1
0,0,13,40,1,0
0,0,233,4759,14,0
0,2,30,0,2,0
0,0,0,0,92,1
0,0,278,7958,1,0
0,0,0,0,2,1
0,0,0,0,191,1
0,0,237,5193,1,0
0,0,301,2698,8,0
0,0,246,3295,5,0
0,0,230,12471,6,0
0,1,46,82,230,0
1985,1,147,105,1,0
0,0,0,0,12,1
0,0,641,0,2,0
0,1,28,0,99,1
0,0,0,0,150,1
0,0,82,1,1,0
0,0,0,0,226,1
0,0,0,0,81,1
0,0,0,0,122,1
0,1,46,80,54,0
0,0,0,0,237,1
0,0,0,0,219,1
0,0,376,345,1,0
0,0,0,0,148,1
5,1,105,146,2,0
0,0,334,0,1,1
0,0,0,0,276,1
0,2,30,0,4,0
0,0,1053,329,1,0
0,1,46,130,66,0
0,1,45,119,148,0
1,0,1539,395,1,0
0,0,0,0,166,1
0,0,0,0,197,1
0,0,358,1758,1,0
0,1,44,133,71,0
0,0,282,1227,2,0
0,0,323,1509,4,0
0,1,105,105,1,0
0,0,218,358,11,0
0,0,0,0,104,1
0,0,0,0,264,1
0,0,329,303,10,0
0,0,788,328,1,0
0,0,311,4591,21,0
0,0,0,0,254,1
0,0,0,0,122,1
0,0,35,130,1,0
0,2,1032,0,511,1
0,0,0,0,101,1
0,0,0,0,232,1
0,0,59,0,16,0
0,0,0,0,131,1
0,0,226,1022,23,0
0,0,203,2108,9,0
8,0,2544,333,1,0
0,2,1032,0,511,1
0,0,327,6721,4,0
0,0,0,0,126,1
0,0,0,0,263,1
0,0,0,0,1,0
0,0,0,0,127,1
0,0,0,0,194,1
0,0,54540,8314,2,1
0,0,0,0,1,1
0,0,0,0,266,1
0,1,28,0,27,1
0,2,8,0,1,1
0,0,0,0,25,1
0,0,0,0,100,1
1,0,763,335,1,0
0,0,0,0,240,1
0,0,307,8339,5,0
0,0,0,0,287,1
0,0,0,0,282,1
0,0,236,7262,1,0
0,0,246,0,1,1
0,0,0,0,129,1
0,0,0,0,244,1
0,0,0,0,279,1
0,0,300,13038,1,0
0,0,254,390,13,0
5753,1,147,105,1,0
0,0,0,0,134,1
17399,0,1,0,2,1
0,0,334,0,2,1
1,0,0,0,65,1
31,0,1221,3380,1,0
0,0,0,0,269,1
0,2,8,0,1,1
0,0,299,291,2,0
0,0,1874,0,9,0
0,0,1301,335,1,0
21263,0,1,0,2,1
0,1,43,132,216,0
0,2,1032,0,322,1
0,0,0,0,31,1
0,0,330,256,4,0
0,0,0,0,271,1
0,0,302,7497,26,0
0,0,0,0,140,1
0,0,0,0,180,1
0,0,0,0,278,1
0,0,0,0,45,1
0,0,0,0,6,1
0,0,284,307,2,0
0,0,0,0,279,1
0,0,12,0,1,0
0,0,238,276,13,0
1,0,1194,482,1,0
0,0,6601,0,21,0
0,0,12,0,1,0
2,0,1452,330,1,0
2,0,2194619,0,2,0
0,0,0,0,111,1
0,0,0,0,366,1
0,0,0,0,145,1
0,0,240,748,9,0
0,0,0,0,231,1
0,1,42,42,8,0
0,0,0,0,130,1
0,0,336,1294,21,0
3,0,11436,1383,1,0
0,0,0,0,23,1
0,0,195,4768,2,0
0,1,516,4,191,0
0,0,286,3491,10,0
0,0,0,0,214,1
0,0,215,1062,6,0
0,0,196,1337,35,0
5,0,722,334,1,0
0,0,0,0,2,1
0,0,0,0,244,1
0,0,214,3477,2,0
0,0,0,0,257,1
0,0,232,2140,12,0
0,0,224,1783,2,0
0,2,8,0,1,1
0,0,192,0,2,0
0,0,294,478,23,0
0,0,0,0,78,1
0,0,213,259,7,0
0,0,0,0,234,1
8,1,105,146,2,0
0,0,0,0,116,1
0,0,303,458,1,0
0,0,0,0,106,1
0,1,44,126,74,0
4931,1,73,45,2,0
0,0,197,2276,2,0
0,0,0,0,1,1
0,0,242,6725,1,0
0,0,0,0,256,1
0,0,308,607,8,0
0,0,0,0,286,1
0,0,0,0,233,1
0,0,291,868,23,0
0,0,0,0,29,1
0,0,2697,331,1,0
0,1,1,0,17,1
0,0,0,0,108,1
0,0,0,0,102,1
0,0,200,3042,10,0
0,0,0,0,229,1
0,0,0,0,239,1
0,0,8,224,1,0
0,2,1032,0,511,1
0,1,28,0,18,1
0,0,0,0,258,1
0,0,341,281,4,0
0,0,8,493,1,0
0,0,0,0,105,1
0,0,0,0,145,1
1,0,1483,363,1,0
0,1,46,128,19,0
0,0,2426,2737,10,0
0,1,36,0,1,0
0,0,210,1425,10,0
0,0,0,0,123,1
0,0,0,0,9,1
0,0,170,13603,1,0
0,0,0,0,45,1
0,2,8,0,1,1
0,0,0,0,265,1
0,0,0,0,255,1
0,0,0,0,104,1
0,0,0,0,150,1
0,0,269,8921,2,0
0,0,315,347,31,0
0,0,0,0,232,1
0,0,0,0,217,1
0,0,0,0,66,1
0,0,0,0,1,1
0,0,216,7384,16,0
0,0,0,0,1,0
0,0,0,0,1,1
0,0,235,12623,4,0
0,0,667,332,1,0
2,0,1160,333,1,0
0,2,8,0,1,1
2,0,1299,329,1,0
0,0,0,0,195,1
0,0,0,0,232,1
0,0,711,336,1,0
0,2,1032,0,65,1
0,2,8,0,1,1
2,0,0,0,1,1
0,0,0,0,120,1
0,0,0,0,204,1
0,1,42,42,8,0
4,0,0,0,63,1
0,1,147,0,1,0
0,0,0,0,1,0
0,0,0,0,262,1
0,0,222,5834,3,0
0,0,0,0,146,1
0,0,198,1427,20,0
0,0,0,0,2,1
0,2,520,0,261,1
0,0,0,0,242,1
0,0,0,0,213,1
0,0,0,0,50,1
0,2,8,0,1,1
0,0,0,0,170,1
0,0,0,0,252,1
0,0,0,0,126,1
0,0,217,1035,34,0
0,0,0,0,269,1
0,2,8,0,1,1
0,0,252,2795,5,0
0,0,200,940,6,0
0,0,0,0,61,1
0,0,243,663,13,0
0,0,0,0,281,1
0,0,0,0,1,0
0,0,0,0,240,1
0,0,0,0,260,1
0,0,0,0,275,1
0,0,0,0,116,1
0,0,0,0,164,1
0,0,209,2408,3,0
0,0,215,11680,1,0
0,0,0,0,194,1
0,1,31,0,1,0
0,0,338,275,13,0
0,0,249,27998,1,0
0,0,232,5745,8,0
0,0,260,283,8,0
0,0,0,0,121,1
0,0,0,0,220,1
0,0,2168,402,1,0
0,0,373,0,8,0
0,0,347,1417,23,0
0,0,354,1875,3,0
0,0,0,0,29,1
0,0,0,0,229,1
0,0,0,0,118,1
0,0,0,0,240,1
0,0,305,2698,3,0
0,0,0,0,18,1
0,1,105,147,8,0
0,0,221,602,51,0
0,0,887,436,1,0
0,0,695,328,1,0
0,2,520,0,434,1
0,0,495,0,1,0
0,0,0,0,144,1
0,0,0,0,258,1
0,0,2760,370,1,0
0,1,45,83,154,0
1,0,756,332,1,0
0,0,0,0,511,1
0,0,218,6776,11,0
0,0,0,0,111,1
0,0,0,0,228,1
0,0,0,0,282,1
0,0,7196,0,9,0
0,1,46,134,307,0
0,0,12,0,1,0
0,1,45,130,43,0
0,1,43,71,202,0
0,2,520,0,282,1
0,0,206,12642,4,0
0,2,1032,0,250,1
9908,0,2634,8611,1,0
357,0,334,10686,1,0
0,0,4539,0,20,0
0,0,320,520,23,0
0,2,30,0,2,0
0,0,0,0,1,0
0,0,281,759,3,0
0,0,345,3938,10,0
0,0,0,0,75,1
0,0,223,408,6,0
0,0,0,0,262,1
0,0,0,0,1,0
0,2,8,0,1,1
0,0,0,0,206,1
0,0,204,260,17,0
0,0,0,0,270,1
1051,0,1,0,2,1
0,0,0,0,239,1
0,0,0,0,229,1
799,0,676,23920,3,0
0,0,209,3556,2,0
0,0,0,0,113,1
0,0,0,0,279,1
0,0,229,934,3,0
0,0,0,0,233,1
0,1,516,4,148,0
0,0,344,1247,9,0
0,0,0,0,207,1
0,0,0,0,112,1
0,0,277,1224,1,0
0,0,325,3941,4,0
0,0,0,0,210,1
1,0,1277,328,1,0
0,0,0,0,255,1
0,0,0,0,102,1
0,0,219,183,8,0
0,0,0,0,4,1
0,0,0,0,175,1
0,1,41,71,121,0
0,0,0,0,118,1
0,0,0,0,1,1
0,0,326,420,3,0
0,0,0,0,206,1
0,2,1032,0,134,1
0,0,0,0,432,1
0,0,334,0,1,1
0,2,8,0,1,1
1,0,0,0,72,1
0,0,0,0,144,1
0,0,229,301,4,0
0,0,205,6622,9,0
0,0,0,0,253,1
0,0,319,583,9,0
0,0,0,0,247,1
0,0,304,1380,1,0
0,0,9,317,1,0
0,0,0,0,282,1
0,0,356,1137,6,0
0,0,0,0,89,1
0,1,44,73,212,0
0,0,0,0,144,1
0,0,299,12471,15,0
35682,0,381709090,0,1,1
0,0,6,123,8,1
4,0,0,15,1,0
0,0,0,0,258,1
0,0,0,0,101,1
0,0,366,4084,7,0
0,0,0,0,1,0
0,0,0,0,284,1
3,0,2194619,0,2,0
15435,1,145,105,4,0
2414,1,146,105,3,0
0,0,0,0,104,1
0,1,45,45,80,0
0,0,0,0,67,1
0,0,0,0,291,1
0,0,236,357,18,0
0,0,0,0,114,1
0,0,0,0,116,1
0,0,258,11380,6,0
10,0,0,0,1,1
0,0,188,13450,1,0
0,0,0,0,9,1
0,0,1195,2449,1,1
0,0,992,329,1,0
0,0,0,0,235,1
0,0,310,255,9,0
6,0,2597,331,1,0
0,0,0,0,179,1
0,0,251,1981,2,0
0,0,0,0,272,1
0,0,748,0,1,0
0,0,158,38643,1,0
0,0,0,0,248,1
0,0,0,0,9,1
0,2,8,0,1,1
0,0,0,0,126,1
0,0,229,682,7,0
0,2,8,0,1,1
0,0,10044,0,12,0
0,0,123,234,1,0
0,0,0,0,150,1
0,0,276,108545,3,0
0,0,0,0,1,1
0,0,319,4143,15,0
0,0,280,16574,9,0
0,0,0,0,114,1
0,1,42,42,7,0
0,2,8,0,1,1
0,0,2838,325,1,0
0,0,463,12604,19,0
0,0,0,0,279,1
0,0,0,0,239,1
0,1,45,134,77,0
0,2,8,0,1,1
1,0,0,4,1,0
0,0,0,0,277,1
0,1,28,0,92,1
0,0,0,0,511,1
0,0,294,3808,2,0
8486,1,146,105,1,0
0,1,31,91,3,0
0,1,29,29,2,0
0,0,0,0,123,1
0,0,1131,326,1,0
0,0,217,2887,10,0
0,0,1329,330,1,0
0,1,44,145,213,0
0,0,0,0,273,1
0,2,8,0,1,1
0,0,224,6874,3,0
0,0,290,1704,9,0
0,0,242,16819,7,0
0,0,197,7204,2,0
0,2,1032,0,511,1
0,0,318,9696,40,0
0,0,0,0,171,1
0,0,234,2659,12,0
0,2,1032,0,511,1
1,0,1492,336,1,0
0,0,0,0,26,1
0,0,0,0,36,1
0,0,0,0,2,0
0,0,303,6833,9,0
0,0,262,3819,10,0
0,0,0,0,149,1
0,0,334,0,2,1
0,0,258,12037,10,0
0,1,215,0,1,1
0,0,246,1600,6,0
0,0,312,3222,3,0
0,0,201,0,5,0
0,0,222,2446,19,0
0,0,290,2107,9,0
0,0,11376,0,9,0
0,0,0,0,167,1
